ds_cargo;cd_municipio;nm_municipio;nm_regiao;nr_turno;sg_uf;nr_zona;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
Governador;00787;PIMENTEIRAS DO OESTE;NORTE;2;RO;16;0;1989;1467;1417;16;0;0;1417;1467;34
Governador;00795;SÃO FRANCISCO DO GUAPORÉ;NORTE;2;RO;5;0;12555;9320;8900;173;0;0;8900;9320;247
Governador;00809;CHUPINGUAIA;NORTE;2;RO;8;4;7343;5069;4762;121;0;0;4762;5069;186
Governador;02003;APUÍ;NORTE;2;AM;67;15;11693;8020;7381;168;0;0;7381;8020;471
Governador;02011;NOVO AIRÃO;NORTE;2;AM;34;2;11482;8237;7780;60;0;0;7780;8237;397
Governador;02020;GUAJARÁ;NORTE;2;AM;45;2;11817;7682;7068;116;0;0;7068;7682;498
Governador;02038;ANORI;NORTE;2;AM;33;1;10812;7396;6931;59;0;0;6931;7396;406
Governador;02046;CAREIRO DA VÁRZEA;NORTE;2;AM;31;12;16762;11761;10943;116;0;0;10943;11761;702
Governador;02054;ATALAIA DO NORTE;NORTE;2;AM;42;8;8965;6074;5772;36;0;0;5772;6074;266
Governador;02070;AUTAZES;NORTE;2;AM;35;21;28953;20127;18674;220;0;0;18674;20127;1233
Governador;02097;BARCELOS;NORTE;2;AM;18;1;11790;7503;7101;40;0;0;7101;7503;362
Governador;02119;BARREIRINHA;NORTE;2;AM;26;1;21077;16029;15264;66;0;0;15264;16029;699
Governador;02135;BENJAMIN CONSTANT;NORTE;2;AM;20;9;22243;16874;15881;77;0;0;15881;16874;916
Governador;02151;BOCA DO ACRE;NORTE;2;AM;14;7;23003;16482;15041;339;0;0;15041;16482;1102
Governador;02178;BORBA;NORTE;2;AM;15;14;20894;16371;15549;82;0;0;15549;16371;740
Governador;02194;CANUTAMA;NORTE;2;AM;13;3;10035;6830;6395;58;0;0;6395;6830;377
Governador;02216;CARAUARI;NORTE;2;AM;21;11;21550;14711;13963;90;0;0;13963;14711;658
Governador;02232;CAREIRO;NORTE;2;AM;23;10;24216;16454;15280;147;0;0;15280;16454;1027
Governador;02259;COARI;NORTE;2;AM;8;31;51520;34255;31409;625;0;0;31409;34255;2221
Governador;02275;CODAJÁS;NORTE;2;AM;7;0;16462;11054;10364;115;0;0;10364;11054;575
Governador;02291;EIRUNEPÉ;NORTE;2;AM;11;7;20055;15148;14183;116;0;0;14183;15148;849
Governador;02313;ENVIRA;NORTE;2;AM;46;0;12083;7579;7122;47;0;0;7122;7579;410
Governador;02330;FONTE BOA;NORTE;2;AM;10;6;16334;11436;10816;67;0;0;10816;11436;553
Governador;02356;HUMAITÁ;NORTE;2;AM;17;10;32832;24243;22408;601;0;0;22408;24243;1234
Governador;02372;SANTA ISABEL DO RIO NEGRO;NORTE;2;AM;30;0;8914;5285;4944;45;0;0;4944;5285;296
Governador;02399;IPIXUNA;NORTE;2;AM;45;5;11954;7730;7156;96;0;0;7156;7730;478
Governador;02410;ITACOATIARA;NORTE;2;AM;3;21;71097;51529;48202;708;0;0;48202;51529;2619
Governador;02437;ITAPIRANGA;NORTE;2;AM;24;3;8347;6232;5875;52;0;0;5875;6232;305
Governador;02453;JAPURÁ;NORTE;2;AM;48;1;5104;3070;2854;37;0;0;2854;3070;179
Governador;02470;JURUÁ;NORTE;2;AM;50;18;7874;5021;4679;46;0;0;4679;5021;296
Governador;02496;JUTAÍ;NORTE;2;AM;41;0;14312;9746;9061;64;0;0;9061;9746;621
Governador;02518;LÁBREA;NORTE;2;AM;12;11;27121;18854;17518;174;0;0;17518;18854;1162
Governador;02534;MANACAPURU;NORTE;2;AM;6;19;72668;54656;50719;818;0;0;50719;54656;3119
Governador;02550;MANAUS;NORTE;2;AM;1;17;98600;83240;70926;4507;0;0;70926;83240;7807
Governador;02550;MANAUS;NORTE;2;AM;2;3;90786;76052;65568;4228;0;0;65568;76052;6256
Governador;02550;MANAUS;NORTE;2;AM;31;12;80902;68518;58402;3348;0;0;58402;68518;6768
Governador;02550;MANAUS;NORTE;2;AM;32;4;120032;101985;87205;5303;0;0;87205;101985;9477
Governador;02550;MANAUS;NORTE;2;AM;37;3;95731;81526;69131;4492;0;0;69131;81526;7903
Governador;02550;MANAUS;NORTE;2;AM;40;6;124097;104841;89714;5680;0;0;89714;104841;9447
Governador;02550;MANAUS;NORTE;2;AM;58;1;118056;99096;84236;5660;0;0;84236;99096;9200
Governador;02550;MANAUS;NORTE;2;AM;59;10;105089;89216;75940;4638;0;0;75940;89216;8638
